# D_l  z_obs  sigma_D_l  sigma_z  v_rms
1.853295786209703238e+02 6.397764906038853894e-02 5.936545669499999889e+01 5.286699838616411296e-03 5.000000000000000000e+02
1.470904481505079104e+02 4.543333369129935045e-02 4.806708610249999936e+01 5.229015798967555362e-03 5.000000000000000000e+02
2.204568599654958518e+02 4.462578594448263214e-02 4.566208510999999959e+01 5.216923945478595635e-03 5.000000000000000000e+02
1.985444357622190523e+02 5.363812513017649636e-02 4.985729014999999720e+01 5.238016579060878093e-03 5.000000000000000000e+02
1.560660328393464624e+02 6.833436640759403546e-02 6.533930184000000452e+01 5.317898243570511572e-03 5.000000000000000000e+02
2.876569161415570761e+02 8.052955819572488183e-02 7.324880249250000475e+01 5.359870471608102482e-03 5.000000000000000000e+02
1.649514863716101161e+02 2.485324852761621600e-02 3.165432267999999993e+01 5.147833945081622432e-03 5.000000000000000000e+02
3.782355071403011380e+02 1.062895664732970286e-01 9.683135314749999623e+01 5.490418737511795072e-03 5.000000000000000000e+02
1.999227603010574228e+02 3.195816105279771641e-02 4.378664069250000068e+01 5.207494594225178623e-03 5.000000000000000000e+02
1.562471547011350594e+02 4.046058348226930224e-02 4.762498126250000041e+01 5.226792986183398902e-03 5.000000000000000000e+02
1.947006204047835922e+02 4.258938724781338031e-02 4.654436720500000035e+01 5.221359879543463305e-03 5.000000000000000000e+02
2.844850926897507293e+02 5.460883950043780161e-02 6.200572390500000353e+01 5.300307311012639015e-03 5.000000000000000000e+02
1.112249411004698629e+02 4.346967432010100107e-02 4.257349504999999823e+01 5.201395145860863468e-03 5.000000000000000000e+02
2.492230897529066169e+02 4.262220376264110044e-02 4.822027079000000072e+01 5.229785980270506077e-03 5.000000000000000000e+02
2.635237177926495633e+02 5.260240839268905816e-02 5.505179846000000055e+01 5.264479977255533301e-03 5.000000000000000000e+02
8.745871706958253355e+01 1.941377999594668877e-02 2.265945167750000167e+01 5.104759081112725423e-03 5.000000000000000000e+02
6.190520020025538628e+01 1.188365364555918693e-02 1.748557703999999902e+01 5.080466476387994652e-03 5.000000000000000000e+02
1.243358476284339247e+02 3.645788119967054153e-02 3.610562451999999922e+01 5.169623327306522957e-03 5.000000000000000000e+02
